Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,fastARG_completed,tsinfer_completed,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,fastARG_memory,fastARG_cputime,fastARG_edges,fastARG_ts_filesize
64,1,10000,5000,7500000,1e-08,1e-08,0,70870,13451,14678,593121748,True,True,264798208.0,1384.0,5.397576753260088,2909164.0,735.8,210.49764686429583,52567.0,3825516544.0,9099.140000000001,87835.0,4329948.0
65,1,10000,5000,8000000,1e-08,1e-08,0,75192,14649,15481,1295907009,False,False,,,,,,,,,,,
66,1,10000,5000,8500000,1e-08,1e-08,0,78891,15646,17005,1446971885,False,True,299360256.0,1752.0,5.406312900274474,3239588.0,843.38,293.0410397447283,59091.0,,,,
67,1,10000,5000,9000000,1e-08,1e-08,0,80695,16108,17148,156476042,True,True,299241472.0,1686.0,5.401315196829114,3277212.0,920.4,268.32980279237245,59960.0,3876110336.0,10667.47,101457.0,4951716.0
68,1,10000,5000,9500000,1e-08,1e-08,0,83648,16926,18101,854711162,False,True,349601792.0,1867.0,5.390268798911194,3440100.0,996.49,308.0416337827999,63368.0,,,,
69,1,10000,5000,10000000,1e-08,1e-08,0,89577,18468,19982,168264893,False,True,363425792.0,1932.0,5.363293229535268,3693212.0,1123.15,305.1291645261892,68205.0,,,,
70,1,10531,5000,5000000,1e-08,1e-08,0,55912,9221,9797,461351888,True,True,201580544.0,981.0,5.767004554135449,2238820.0,415.71,161.5984235673364,39256.0,2207789056.0,6991.53,67266.0,3359332.0
71,1,11583,5000,5000000,1e-08,1e-08,0,57391,9075,9751,298856313,True,False,,,,,,,,3216498688.0,9136.95,69373.0,3475740.0
72,1,12635,5000,5000000,1e-08,1e-08,0,61615,9627,10161,1720966851,True,True,219680768.0,953.0,5.946896455093176,2447468.0,474.46999999999997,151.6974742547962,42443.0,5789556736.0,10926.38,72460.0,3647620.0
73,1,13687,5000,5000000,1e-08,1e-08,0,62938,9410,10323,131357259,False,False,,,,,,,,,,,
74,1,14739,5000,5000000,1e-08,1e-08,0,66250,9742,10366,886152833,True,True,246255616.0,1082.0,6.109379163335998,2657932.0,600.7299999999999,183.64977347547313,45857.0,7396798464.0,15141.87,79128.0,3985820.0
75,1,15791,5000,5000000,1e-08,1e-08,0,67620,9532,10202,1090046110,False,True,281882624.0,962.0,6.222341137123746,2713652.0,620.0,155.19390890034788,46512.0,,,,
76,1,16843,5000,5000000,1e-08,1e-08,0,69600,9497,10074,665660989,True,True,293109760.0,956.0,6.339525009950909,2792724.0,630.82,154.1587044579456,47781.0,7320907776.0,25426.61,81625.0,4145068.0
77,1,17895,5000,5000000,1e-08,1e-08,0,72156,9634,10507,1638250953,False,True,309997568.0,896.0,6.351618705035971,2911172.0,706.64,140.07870241576524,49441.0,,,,
78,1,18947,5000,5000000,1e-08,1e-08,0,74190,9578,10088,1221995307,True,False,,,,,,,,12751847424.0,31780.14,87555.0,4446980.0
