,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,ancestral_state_error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
170,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,RentPlus,per site,retained,unrooted,RF,13.869681860465109,0.5284032626148325
171,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,RentPlus,per site,retained,unrooted,SPR,3.710783720930233,0.1340073961618623
172,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,RentPlus,per site,retained,unrooted,path,19.69479437411701,0.5076032518150978
173,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,fastARG,per site,retained,rooted,KC,16.974119353474094,0.3787639887724822
174,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,fastARG,per site,retained,rooted,RF,16.975060542623343,0.3706153136681199
176,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,fastARG,per site,retained,unrooted,RF,14.817209444196722,0.36404861014417084
177,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,fastARG,per site,retained,unrooted,SPR,3.9255481565498025,0.08287138346730805
178,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,fastARG,per site,retained,unrooted,path,20.856226834234864,0.42902947018992454
180,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,broken,rooted,KC,16.969504757328654,0.3045220178340021
181,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,broken,rooted,RF,17.098451042621313,0.26583941750838747
183,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,broken,unrooted,RF,15.485296899687121,0.26009699515913015
184,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,broken,unrooted,SPR,4.050489687667054,0.05519834263666599
185,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,broken,unrooted,path,21.525514345075376,0.30255680521267647
187,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,retained,rooted,KC,14.269693688524805,0.22995552319279694
191,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,retained,unrooted,path,25.838751110636828,0.4983421365015399
193,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,ARGweaver,per site,retained,rooted,KC,11.247447367023724,0.27084104677599197
194,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,ARGweaver,per site,retained,rooted,RF,11.892285128205126,0.30258294183567486
196,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,ARGweaver,per site,retained,unrooted,RF,10.798331743589744,0.29469488066103705
197,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,ARGweaver,per site,retained,unrooted,SPR,3.211603461538462,0.07147415288284976
198,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,ARGweaver,per site,retained,unrooted,path,16.18655984968284,0.30933797002196434
200,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,RentPlus,per site,retained,rooted,KC,12.374172962908537,0.25233988757951215
201,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,RentPlus,per site,retained,rooted,RF,11.532880217391304,0.34246190785634484
202,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,RentPlus,per site,retained,unrooted,RF,9.94844804347826,0.3380331487221863
203,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,RentPlus,per site,retained,unrooted,SPR,2.9499983695652188,0.09810740505262962
204,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,RentPlus,per site,retained,unrooted,path,15.781366816213694,0.3696650439461862
205,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,fastARG,per site,retained,rooted,KC,14.485159493534333,0.3006676367727849
206,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,fastARG,per site,retained,rooted,RF,12.104421002738158,0.37447826520540867
208,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,fastARG,per site,retained,unrooted,RF,9.873550981845296,0.35426431527358937
209,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,fastARG,per site,retained,unrooted,SPR,2.943519188260092,0.10173905978041721
210,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,fastARG,per site,retained,unrooted,path,15.728417437406467,0.3536109989704883
212,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,tsinfer,per site,broken,rooted,KC,11.684244994143668,0.23310261707373953
213,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,tsinfer,per site,broken,rooted,RF,11.611013400394338,0.24361023796230746
215,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,tsinfer,per site,broken,unrooted,RF,10.501243843197223,0.23849361204698383
216,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,tsinfer,per site,broken,unrooted,SPR,3.1240892927496056,0.05417406687435393
217,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,tsinfer,per site,broken,unrooted,path,16.017008899538485,0.2647903975061742
219,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,tsinfer,per site,retained,rooted,KC,10.879527291932117,0.21949518155530265
223,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,tsinfer,per site,retained,unrooted,SPR,2.5000080151935693,0.2050229247862102
224,5000,100000,16,1e-08,1.4898859031336945e-08,0,0,tsinfer,per site,retained,unrooted,path,18.688556163105297,0.4369709235412113
226,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,ARGweaver,per site,retained,rooted,KC,11.926381374273582,0.3792876513028163
227,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,ARGweaver,per site,retained,rooted,RF,11.680589555555555,0.37233293760626224
229,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,ARGweaver,per site,retained,unrooted,RF,10.445752777777773,0.3549954425914421
230,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,ARGweaver,per site,retained,unrooted,SPR,3.0789230555555553,0.0818494509134499
231,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,ARGweaver,per site,retained,unrooted,path,16.04776133595691,0.40999950507028515
233,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,RentPlus,per site,retained,rooted,KC,12.659378034172242,0.36405415535525987
234,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,RentPlus,per site,retained,rooted,RF,12.051733870967741,0.5030634937739993
235,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,RentPlus,per site,retained,unrooted,RF,10.495508064516128,0.4800301417472621
236,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,RentPlus,per site,retained,unrooted,SPR,3.056657419354839,0.13370325409336287
237,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,RentPlus,per site,retained,unrooted,path,16.122704096047876,0.5238204027414696
238,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,fastARG,per site,retained,rooted,KC,14.472311415042077,0.29148988474283655
239,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,fastARG,per site,retained,rooted,RF,12.33635929192761,0.33303994788226987
241,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,fastARG,per site,retained,unrooted,RF,10.204627189902151,0.3161967492014978
242,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,fastARG,per site,retained,unrooted,SPR,3.0041268249296182,0.08832783697101317
243,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,fastARG,per site,retained,unrooted,path,16.029261875734125,0.31475740212212866
245,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,tsinfer,per site,broken,rooted,KC,11.868517744861453,0.2368094678586953
246,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,tsinfer,per site,broken,rooted,RF,11.712595293947752,0.2412003208170633
248,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,tsinfer,per site,broken,unrooted,RF,10.57174295514019,0.23478644897776468
249,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,tsinfer,per site,broken,unrooted,SPR,3.1452235626979657,0.05495047513577876
250,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,tsinfer,per site,broken,unrooted,path,16.079809431202772,0.26142236767742283
252,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,tsinfer,per site,retained,rooted,KC,11.045348949724753,0.22081154875209474
256,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,tsinfer,per site,retained,unrooted,SPR,2.5475198916789714,0.21088044405351483
257,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.01,tsinfer,per site,retained,unrooted,path,18.740926629625427,0.4356809096019104
259,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,ARGweaver,per site,retained,rooted,KC,11.428418329844568,0.28287216405790117
260,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,ARGweaver,per site,retained,rooted,RF,11.43547619047619,0.3664755961561697
262,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,ARGweaver,per site,retained,unrooted,RF,10.234969523809523,0.37186967998239084
263,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,ARGweaver,per site,retained,unrooted,SPR,3.024415642857143,0.08891020876882309
264,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,ARGweaver,per site,retained,unrooted,path,15.757362995941218,0.3981479258032001
266,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,RentPlus,per site,retained,rooted,KC,12.726448947511534,0.36074554284504223
