Unnamed: 0,Unnamed: 0.1,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,ts_filesize,vcf_filesize,vcfgz_filesize,tsinfer_completed,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,internal_nodes,internal_nodes_with_mutations
47,47,0,50000,5000,5000000,1e-08,1e-08,0,142251,11141,11643,745911278,7605276,1164862503,31159666,True,2191.53,253.39985426327598,90944.0,657907712.0,961.0,9.141019197909337,5620852.0,58598,5307
48,48,0,50000,5000,10000000,1e-08,1e-08,0,181031,21293,22536,669270988,9436948,2254467591,62154585,True,5352.3200000000015,295.4799740048269,122272.0,1215770624.0,2040.0,7.039668374690541,7237140.0,65964,9624
49,49,0,50000,5000,15000000,1e-08,1e-08,0,221287,31885,34138,1782501257,11345260,3415004151,92928568,True,10268.35,394.8596807735562,158531.0,1834446848.0,3025.0,6.304171471746132,9048212.0,73432,13635
50,50,0,50000,5000,20000000,1e-08,1e-08,0,261424,42389,45501,1554950652,13233252,4551633477,125899145,True,16186.12,518.6453396943997,192999.0,2456498176.0,4008.0,5.963753785303751,10778852.0,80592,17495
51,51,0,50000,5000,25000000,1e-08,1e-08,0,304931,53911,57574,1619036622,15271260,5759283197,156816651,True,23285.11,679.9809732422723,229516.0,3211575296.0,5126.0,5.7834446264331625,12606060.0,88383,21456
52,52,0,50000,5000,30000000,1e-08,1e-08,0,346169,64725,68632,1876823513,17178356,6865404098,190332379,True,28707.07,809.6785471784442,265324.0,3904929792.0,6097.0,5.669922000213697,14364868.0,95353,25045
53,53,0,50000,5000,35000000,1e-08,1e-08,0,384116,74675,79590,966701046,18977932,7961521910,218048621,True,37236.36,977.1742872011903,298913.0,4609101824.0,7164.0,5.610439581065355,16033644.0,102390,28592
54,54,0,50000,5000,40000000,1e-08,1e-08,0,427206,85982,91354,1711364921,20983036,9138263024,248765203,True,48830.31,1117.8585672669446,338033.0,5440307200.0,8194.0,5.562497943064011,17935860.0,109856,32358
55,55,0,50000,5000,45000000,1e-08,1e-08,0,463082,95400,101675,971403451,22669804,10170662917,277522413,True,58496.64,1203.2581725402804,368707.0,6137245696.0,8903.0,5.538552823301438,19469492.0,115962,35242
56,56,0,50000,5000,50000000,1e-08,1e-08,0,508922,107364,114070,2081809961,24791196,11410522000,311449085,True,67583.77,1402.0234857857074,412343.0,7059165184.0,10185.0,5.524497916638754,21555276.0,123608,39359
57,57,0,50000,5000,55000000,1e-08,1e-08,0,545865,117214,124865,957315746,26540164,12490334921,344417730,True,78547.73,1537.4186397070748,447383.0,7874555904.0,11135.0,5.504490870613712,23267644.0,130131,42446
58,58,0,50000,5000,60000000,1e-08,1e-08,0,592120,129256,136707,1547756102,28656828,13674878790,373446175,True,93181.24,1759.3199300731217,486218.0,8700919808.0,12429.0,5.5010125923495545,25154692.0,137903,46286
59,59,0,50000,5000,65000000,1e-08,1e-08,0,631932,139785,149162,761133735,30571628,14920738806,409362246,True,105113.91,1846.4262130731927,525505.0,9707524096.0,13244.0,5.497719331282823,27082868.0,144883,49719
60,60,0,50000,5000,70000000,1e-08,1e-08,0,669589,149642,157981,1407249052,32259236,15802895606,434366830,True,120410.5,2109.827475658628,558260.0,10334646272.0,14570.0,5.518202575938793,28617716.0,151027,52331
61,61,0,50000,5000,75000000,1e-08,1e-08,0,712600,161030,170854,2079985360,34297644,17090568689,469920360,True,137189.78,2214.127284519031,598634.0,11357122560.0,15494.0,5.493365389909519,30611964.0,158231,55849
62,62,0,50000,5000,80000000,1e-08,1e-08,0,753979,171794,182056,1918293545,36215476,18211093366,499784948,True,150040.4,2266.0360802630303,636326.0,12299202560.0,16141.0,5.507075043056072,32423940.0,165232,59548
63,63,0,50000,5000,85000000,1e-08,1e-08,0,789763,181324,192945,935864672,37918628,19300309382,532038372,True,159200.27000000002,2527.995919227822,670112.0,13165424640.0,17514.0,5.498309757458402,34092556.0,171243,62339
64,64,0,50000,5000,90000000,1e-08,1e-08,0,841048,194866,206252,1999782678,40279780,20631395067,574701064,True,172660.49,2736.2182974714165,717967.0,14268362752.0,18860.0,5.500524795636152,36363836.0,180176,66479
65,65,0,50000,5000,95000000,1e-08,1e-08,0,874256,203404,216556,1929248278,41862228,21662093519,591697029,True,193115.2,2798.07174413532,746948.0,15115796480.0,19438.0,5.509603752987343,37824444.0,185519,68776
66,66,0,50000,5000,100000000,1e-08,1e-08,0,914769,214113,227875,1233609913,43754044,22794322362,620027340,True,213437.72,2984.335425997314,786583.0,16081272832.0,20597.0,5.512646562055408,39716308.0,192405,72472
67,67,0,50000,5000,5000000,2e-08,1e-08,0,181223,21240,11236,937208081,9010660,1124151369,29598578,True,2140.99,353.26981471467593,115277.0,664653824.0,1529.0,9.454359058476177,6437100.0,65837,6231
68,68,0,50000,5000,10000000,2e-08,1e-08,0,262273,42627,22832,436316771,12405572,2284075989,63526332,True,6196.19,468.58800249993345,165503.0,1281544192.0,2981.0,7.634606513516007,8735796.0,80865,11723
69,69,0,50000,5000,15000000,2e-08,1e-08,0,342972,63786,33811,1043535189,15749484,3382294509,92334882,True,11398.32,736.7883750655211,216928.0,1893298176.0,4598.0,7.159812528879794,11027428.0,95213,16687
70,70,0,50000,5000,20000000,2e-08,1e-08,0,425778,85448,45236,2141643238,19172596,4525125811,125927377,True,18511.2,1042.3502458653368,270344.0,2573848576.0,6281.0,6.93474245844449,13402204.0,109345,21977
71,71,0,50000,5000,25000000,2e-08,1e-08,0,511129,107896,57228,408301653,22715508,5724673470,157293423,True,25393.59,1280.7564745411314,327036.0,3310444544.0,7772.0,6.797530710232588,15915084.0,124177,27154
72,72,0,50000,5000,30000000,2e-08,1e-08,0,588679,128382,68758,987405515,25959004,6878007737,190348972,True,34164.0,1518.297957891854,377026.0,4021993472.0,9168.0,6.704829990041258,18170860.0,137667,32020
73,73,0,50000,5000,35000000,2e-08,1e-08,0,667884,149129,79544,736191869,29219268,7956920560,217320861,True,42565.49,1745.0690020078046,430374.0,4731637760.0,10525.0,6.694989343994522,20502660.0,150828,36833
74,74,0,50000,5000,40000000,2e-08,1e-08,0,762518,173877,92541,1183110416,33124196,9256997084,254317767,True,53700.46,2062.642421416208,493458.0,5614051328.0,12301.0,6.658184124242711,23277156.0,166776,42274
75,75,0,50000,5000,45000000,2e-08,1e-08,0,834641,193162,102372,2042431147,36105428,10240382960,282222053,True,62236.36,2357.0307395194172,539866.0,6291853312.0,13754.0,6.66830533596838,25319772.0,179263,46428
76,76,0,50000,5000,50000000,2e-08,1e-08,0,918387,214845,114097,668340639,39562116,11413222645,313552566,True,75838.08,2651.495136773918,597349.0,7113342976.0,15365.0,6.658518369894774,27838300.0,193066,51295
77,77,0,50000,5000,55000000,2e-08,1e-08,0,994781,235087,124546,1134470917,42717756,12458425945,345058471,True,87908.54,2896.5600363656818,649564.0,7893323776.0,16736.0,6.671637805303918,30110724.0,206148,55639
78,78,0,50000,5000,60000000,2e-08,1e-08,0,1083886,258379,137752,806389049,46421876,13779409050,378942196,True,100717.74,3234.95580230642,710550.0,8802861056.0,18499.0,6.676470035517638,32808036.0,220771,61054
79,79,0,50000,5000,65000000,2e-08,1e-08,0,1162784,279120,149049,2014329324,49684276,14909435955,412895573,True,110348.71,3546.871080817613,766824.0,9745993728.0,20153.0,6.660621221596832,35269548.0,233620,65595
80,80,0,50000,5000,70000000,2e-08,1e-08,0,1241399,299696,159032,1100405605,52882708,15908025906,435881224,True,127912.59,3757.883248075256,816482.0,10426847232.0,21359.0,6.691378462547124,37423316.0,246261,70059
81,81,0,50000,5000,75000000,2e-08,1e-08,0,1321873,320948,170320,1188110358,56215476,17037153079,468077543,True,137667.78999999998,3982.496794874021,869021.0,11308662784.0,22726.0,6.669078937270732,39754964.0,259955,74627
82,82,0,50000,5000,80000000,2e-08,1e-08,0,1401702,342038,181402,827040674,59502012,18145674592,501602609,True,153706.02000000002,4445.514388641529,924305.0,12162080768.0,24721.0,6.69485448566586,42153492.0,272909,79233
