,EAS,EUR,AFR,AMR,SAS,left,right
54700,0.0,0.046511627906976744,0.9069767441860465,0.023255813953488372,0.023255813953488372,5684592.0,5684803.0
54703,0.0,0.0,0.9487179487179487,0.05128205128205128,0.0,5685119.0,5685125.0
54723,0.0,0.0,0.9473684210526315,0.05263157894736842,0.0,5686697.0,5686713.0
54797,0.0,0.0,0.945945945945946,0.05405405405405406,0.0,5692391.0,5692429.0
54832,0.0,0.0,0.9444444444444444,0.05555555555555555,0.0,5694466.0,5694515.0
54845,0.0,0.0,1.0,0.0,0.0,5695264.0,5695353.0
54850,0.0,0.0,0.9583333333333333,0.041666666666666664,0.0,5695741.0,5695958.0
54863,0.0,0.0,0.96,0.04,0.0,5697015.0,5697039.0
54886,0.0,0.0,0.9615384615384616,0.038461538461538464,0.0,5697999.0,5698147.0
54927,0.0,0.023255813953488372,0.9302325581395349,0.046511627906976744,0.0,5698996.0,5699112.0
54950,0.0,0.0,0.9523809523809523,0.047619047619047616,0.0,5700705.0,5700752.0
54951,0.0,0.024390243902439025,0.926829268292683,0.04878048780487805,0.0,5700752.0,5700882.0
54959,0.0,0.010869565217391304,0.9565217391304348,0.03260869565217391,0.0,5701481.0,5701482.0
54960,0.0,0.010752688172043012,0.946236559139785,0.043010752688172046,0.0,5701482.0,5701653.0
54962,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,5701726.0,5701729.0
54985,0.0,0.0,0.9577464788732395,0.04225352112676056,0.0,5703215.0,5703611.0
54990,0.0,0.0,0.9545454545454546,0.045454545454545456,0.0,5704054.0,5704059.0
54994,0.0,0.0,0.956989247311828,0.043010752688172046,0.0,5704297.0,5704444.0
55002,0.0,0.0,0.9574468085106382,0.0425531914893617,0.0,5705129.0,5705189.0
55006,0.0,0.0,0.9714285714285714,0.02857142857142857,0.0,5705473.0,5705480.0
55008,0.0,0.0,0.9705882352941176,0.029411764705882353,0.0,5705545.0,5706032.0
55024,0.0,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,5707570.0,5707593.0
55027,0.0,0.011235955056179775,0.9438202247191011,0.0449438202247191,0.0,5707688.0,5707785.0
55030,0.0,0.0125,0.9375,0.05,0.0,5707794.0,5707819.0
55031,0.0,0.012987012987012988,0.9350649350649352,0.05194805194805195,0.0,5707819.0,5707875.0
55034,0.0,0.013157894736842105,0.9473684210526315,0.039473684210526314,0.0,5707907.0,5707964.0
55038,0.0,0.013333333333333334,0.9466666666666668,0.04,0.0,5708146.0,5708231.0
55040,0.0,0.0,0.96,0.04,0.0,5708235.0,5708236.0
55045,0.0,0.0,0.9807692307692308,0.019230769230769232,0.0,5708462.0,5708659.0
55046,0.0,0.0,0.9891304347826086,0.010869565217391304,0.0,5708659.0,5708784.0
55052,0.0,0.0,0.9784946236559141,0.010752688172043012,0.010752688172043012,5709324.0,5709379.0
55057,0.0,0.0,0.9891304347826086,0.010869565217391304,0.0,5709953.0,5710065.0
55073,0.0,0.0,0.9892473118279571,0.010752688172043012,0.0,5711703.0,5711844.0
55083,0.0,0.0,0.9891304347826086,0.010869565217391304,0.0,5712776.0,5712803.0
55089,0.18181818181818182,0.36363636363636365,0.030303030303030304,0.06060606060606061,0.36363636363636365,5713561.0,5713562.0
55102,0.1764705882352941,0.3529411764705882,0.058823529411764705,0.058823529411764705,0.3529411764705882,5714398.0,5714489.0
55116,0.18181818181818182,0.36363636363636365,0.030303030303030304,0.06060606060606061,0.36363636363636365,5715644.0,5715668.0
55167,0.1875,0.375,0.03125,0.0625,0.34375,5722349.0,5722350.0
55239,0.05714285714285714,0.7428571428571429,0.0,0.05714285714285714,0.14285714285714285,5726877.0,5726892.0
55244,0.058823529411764705,0.7647058823529411,0.0,0.058823529411764705,0.11764705882352941,5727249.0,5727333.0
55256,0.08571428571428572,0.7428571428571429,0.0,0.05714285714285714,0.11428571428571428,5728340.0,5728392.0
55282,0.06521739130434782,0.717391304347826,0.043478260869565216,0.06521739130434782,0.10869565217391304,5730566.0,5730579.0
55283,0.06666666666666667,0.7333333333333334,0.022222222222222223,0.06666666666666667,0.11111111111111112,5730579.0,5730632.0
55285,0.06818181818181818,0.7272727272727273,0.022727272727272728,0.06818181818181818,0.11363636363636365,5730662.0,5730678.0
55293,0.07142857142857142,0.7142857142857142,0.023809523809523808,0.07142857142857142,0.11904761904761904,5731274.0,5731283.0
55303,0.07317073170731708,0.7317073170731707,0.024390243902439025,0.07317073170731708,0.0975609756097561,5731955.0,5732055.0
55328,0.04524886877828055,0.2081447963800905,0.3257918552036199,0.06787330316742082,0.35294117647058826,5734088.0,5734137.0
55329,0.0,0.0,1.0,0.0,0.0,5734137.0,5734382.0
55589,0.0,0.0,0.923076923076923,0.07692307692307693,0.0,5766385.0,5766390.0
55643,0.0,0.0,0.9795918367346939,0.02040816326530612,0.0,5771076.0,5771157.0
55658,0.0,0.0,0.9551282051282051,0.041666666666666664,0.003205128205128205,5773222.0,5773304.0
55659,0.0,0.0,0.9581993569131833,0.03858520900321544,0.003215434083601286,5773304.0,5773368.0
55660,0.0,1.0,0.0,0.0,0.0,5773368.0,5773522.0
55672,0.0,0.5,0.5,0.0,0.0,5775110.0,5775241.0
55674,0.16926503340757237,0.22420193021529322,0.22048997772828507,0.16481069042316257,0.2212323682256867,5775251.0,5775272.0
55675,0.0,0.0,0.9692307692307693,0.03076923076923077,0.0,5775272.0,5775337.0
55677,0.0,0.0,0.9795918367346939,0.02040816326530612,0.0,5775345.0,5775454.0
55708,0.0,0.0,0.98,0.02,0.0,5778077.0,5778204.0
55723,0.0,0.0,0.9795918367346939,0.02040816326530612,0.0,5779325.0,5779340.0
55757,0.0,0.02,0.96,0.02,0.0,5782000.0,5782058.0
55760,0.0,0.018518518518518517,0.9444444444444444,0.037037037037037035,0.0,5782350.0,5782437.0
55762,0.0,0.0,0.96,0.04,0.0,5782559.0,5782576.0
55763,0.0,0.018518518518518517,0.9444444444444444,0.037037037037037035,0.0,5782576.0,5782611.0
55770,0.0,0.0,0.9622641509433962,0.03773584905660377,0.0,5783170.0,5783201.0
55779,0.0,0.0,0.9607843137254902,0.0392156862745098,0.0,5783581.0,5783644.0
55780,0.0,0.0,0.9655172413793103,0.034482758620689655,0.0,5783644.0,5783724.0
55802,0.0,0.0,0.9642857142857142,0.03571428571428571,0.0,5785215.0,5785371.0
55805,0.01954397394136808,0.47557003257328995,0.10097719869706841,0.1465798045602606,0.25732899022801303,5785514.0,5785540.0
55811,0.016286644951140065,0.47557003257328995,0.10423452768729642,0.1465798045602606,0.25732899022801303,5785912.0,5785929.0
55813,0.016611295681063124,0.48172757475083056,0.11960132890365449,0.14950166112956811,0.23255813953488372,5786063.0,5786072.0
55815,0.03529411764705882,0.047058823529411764,0.7411764705882353,0.058823529411764705,0.11764705882352941,5786078.0,5786279.0
55819,0.03488372093023256,0.046511627906976744,0.7441860465116279,0.05813953488372093,0.11627906976744186,5786538.0,5786554.0
55820,0.03296703296703297,0.04395604395604396,0.7582417582417583,0.05494505494505495,0.1098901098901099,5786554.0,5786651.0
55826,0.03225806451612903,0.043010752688172046,0.7634408602150539,0.05376344086021506,0.10752688172043012,5786759.0,5786789.0
55830,0.03260869565217391,0.043478260869565216,0.7717391304347826,0.05434782608695652,0.09782608695652173,5786909.0,5786941.0
55831,0.022222222222222223,0.044444444444444446,0.7777777777777778,0.05555555555555556,0.1,5786941.0,5786959.0
55834,0.021052631578947368,0.042105263157894736,0.7894736842105263,0.05263157894736842,0.09473684210526316,5786981.0,5787045.0
55840,0.010309278350515464,0.0,0.9381443298969072,0.05154639175257732,0.0,5787382.0,5787411.0
55843,0.0,0.0,0.9435483870967741,0.056451612903225805,0.0,5787450.0,5787502.0
55845,0.0,0.0,1.0,0.0,0.0,5787503.0,5787509.0
55852,0.0,0.0,0.0,1.0,0.0,5787592.0,5787632.0
56018,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,5807789.0,5807806.0
56023,0.0,0.0,0.8421052631578947,0.15789473684210525,0.0,5807829.0,5807991.0
56024,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,5807991.0,5808126.0
56030,0.0,0.0,1.0,0.0,0.0,5808694.0,5808697.0
56074,0.0,0.0,0.9090909090909092,0.09090909090909091,0.0,5811443.0,5811515.0
56083,0.0,0.0,0.90625,0.09375,0.0,5812283.0,5812334.0
56088,0.0,0.0,0.9032258064516129,0.0967741935483871,0.0,5812616.0,5812888.0
56090,0.0,0.0,0.0,0.0,1.0,5812900.0,5812901.0
56091,0.201318154583583,0.20091871380067905,0.2640303574995007,0.1384062312762133,0.19532654284002396,5812901.0,5813168.0
56120,0.16336633663366337,0.2978547854785479,0.12004950495049505,0.16584158415841585,0.2528877887788779,5816865.0,5817254.0
56122,0.1635012386457473,0.2976878612716763,0.12014863748967794,0.16556564822460776,0.2530966143682907,5817460.0,5817549.0
56123,0.1635012386457473,0.2972749793559042,0.11973575557390585,0.16556564822460776,0.2539223781998348,5817549.0,5817640.0
56124,0.16329896907216496,0.2977319587628866,0.11958762886597939,0.16577319587628866,0.2536082474226804,5817640.0,5817905.0
56125,0.1644518272425249,0.2994186046511628,0.11420265780730897,0.1665282392026578,0.2553986710963455,5817905.0,5818004.0
56127,0.16377171215880892,0.29818031430934655,0.11786600496277916,0.16583953680727875,0.2543424317617866,5818005.0,5818052.0
56129,0.0,0.0,1.0,0.0,0.0,5818075.0,5818119.0
56178,0.0,0.0,0.8,0.0,0.2,5823438.0,5823578.0
56183,0.0,0.0,1.0,0.0,0.0,5823795.0,5824007.0
56250,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.4666666666666667,0.0,5830960.0,5831053.0
56283,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.4117647058823529,0.0,5833457.0,5833804.0
56293,0.0,0.0,1.0,0.0,0.0,5834492.0,5834544.0
56725,0.0,0.0,0.9791666666666666,0.020833333333333332,0.0,5866095.0,5866113.0
56761,0.0,0.0,0.9787234042553191,0.02127659574468085,0.0,5867893.0,5867933.0
56776,0.022727272727272728,0.0,0.9545454545454546,0.022727272727272728,0.0,5868955.0,5869098.0
56784,0.0,0.0,0.9767441860465116,0.023255813953488372,0.0,5869518.0,5869563.0
56790,0.0,0.0,0.9791666666666666,0.020833333333333332,0.0,5870003.0,5870161.0
56791,0.0,0.0,0.9782608695652174,0.021739130434782608,0.0,5870161.0,5870315.0
56800,0.0,0.041666666666666664,0.9375,0.020833333333333332,0.0,5871028.0,5871098.0
56816,0.0,0.0,0.9782608695652174,0.021739130434782608,0.0,5872289.0,5872387.0
56861,0.0,0.0,0.9777777777777779,0.022222222222222223,0.0,5875849.0,5875904.0
56893,0.0,0.0,0.9736842105263157,0.02631578947368421,0.0,5878800.0,5878853.0
56894,0.0,0.0,0.9777777777777779,0.022222222222222223,0.0,5878853.0,5878867.0
56898,0.0,0.0,0.9782608695652174,0.021739130434782608,0.0,5878989.0,5878994.0
56947,0.0,0.0,0.9777777777777779,0.022222222222222223,0.0,5883758.0,5883947.0
56955,0.0,0.0,0.9782608695652174,0.021739130434782608,0.0,5884524.0,5884593.0
