,Ne,length,sample_size,recombination_rate,mutation_rate,tool,vcf_compression_factor_mean,vcf_compression_factor_se
70,5000,50000000,75000,1e-08,1e-08,tsinfer,19.30333453884735,0.09965299178218001
71,5000,50000000,75000,2e-08,1e-08,tsinfer,15.130147264895918,0.15967908834180555
72,5000,50000000,80000,5e-09,1e-08,tsinfer,24.427796446601462,0.2661645200846729
73,5000,50000000,80000,1e-08,1e-08,tsinfer,20.03349824840689,
74,5000,50000000,80000,2e-08,1e-08,tsinfer,15.8590576740896,0.06309936048979736
75,5000,50000000,85000,5e-09,1e-08,tsinfer,25.83566433258156,
76,5000,50000000,85000,1e-08,1e-08,tsinfer,20.776070227132386,
77,5000,50000000,85000,2e-08,1e-08,tsinfer,16.664240223493177,0.06568370263689245
78,5000,50000000,90000,5e-09,1e-08,tsinfer,26.917672288352964,0.21419421827987506
79,5000,50000000,90000,1e-08,1e-08,tsinfer,22.091368440574527,0.11153062149189469
80,5000,50000000,90000,2e-08,1e-08,tsinfer,17.306825865888083,0.05535103402526638
81,5000,50000000,95000,5e-09,1e-08,tsinfer,27.604205809984368,0.18274444018897043
82,5000,50000000,95000,1e-08,1e-08,tsinfer,22.60331707176138,0.09714145941802522
83,5000,50000000,95000,2e-08,1e-08,tsinfer,17.889717937040395,0.05188279695673982
84,5000,50000000,100000,5e-09,1e-08,tsinfer,28.6142342716973,0.1844129537447069
85,5000,50000000,100000,1e-08,1e-08,tsinfer,23.590466372256664,0.07970205608409757
86,5000,50000000,100000,2e-08,1e-08,tsinfer,18.474541901444884,0.058486204953077006
87,5000,55000000,50000,5e-09,1e-08,tsinfer,18.79226409480885,0.20526364544811906
88,5000,55000000,50000,1e-08,1e-08,tsinfer,14.70003829617506,0.08154953957756851
89,5000,55000000,50000,2e-08,1e-08,tsinfer,11.466628938545568,0.036383586502866105
90,5000,60000000,50000,5e-09,1e-08,tsinfer,18.515929313595457,
91,5000,60000000,50000,1e-08,1e-08,tsinfer,14.942297055709714,0.10015863696740357
92,5000,60000000,50000,2e-08,1e-08,tsinfer,11.552862900191382,0.017249508340462252
93,5000,65000000,50000,5e-09,1e-08,tsinfer,19.00235015505735,0.08794508737759532
94,5000,65000000,50000,1e-08,1e-08,tsinfer,15.152633829660907,0.07939907921075012
95,5000,65000000,50000,2e-08,1e-08,tsinfer,11.672331172192049,0.10223694158049179
96,5000,70000000,50000,5e-09,1e-08,tsinfer,19.343560303941636,
97,5000,70000000,50000,1e-08,1e-08,tsinfer,15.281321445226322,0.06890630830204042
98,5000,70000000,50000,2e-08,1e-08,tsinfer,11.661671561028925,0.051499163193445226
99,5000,75000000,50000,5e-09,1e-08,tsinfer,19.620725182652667,0.09652798091907966
100,5000,75000000,50000,1e-08,1e-08,tsinfer,15.32678533959944,0.07936875208782587
101,5000,75000000,50000,2e-08,1e-08,tsinfer,11.747405463943245,0.020757303510150062
102,5000,80000000,50000,5e-09,1e-08,tsinfer,19.84826067701443,0.10503412876243165
103,5000,80000000,50000,1e-08,1e-08,tsinfer,15.444594479110123,0.04801737712869999
104,5000,80000000,50000,2e-08,1e-08,tsinfer,11.905735271756685,0.006303333828505231
105,5000,85000000,50000,5e-09,1e-08,tsinfer,20.063949298525923,0.11789621001974084
106,5000,85000000,50000,1e-08,1e-08,tsinfer,15.524328014658064,
107,5000,85000000,50000,2e-08,1e-08,tsinfer,11.834227069679372,0.048148691211920884
108,5000,90000000,50000,5e-09,1e-08,tsinfer,20.20926813118485,0.07736812102643548
109,5000,90000000,50000,1e-08,1e-08,tsinfer,15.649940326244552,0.062354810611220786
110,5000,90000000,50000,2e-08,1e-08,tsinfer,12.004295208933156,0.020244204852699243
111,5000,95000000,50000,5e-09,1e-08,tsinfer,20.136603741459034,0.15652589125257688
112,5000,95000000,50000,1e-08,1e-08,tsinfer,15.834665111690564,0.0757344450477806
113,5000,95000000,50000,2e-08,1e-08,tsinfer,12.042885047552385,0.03525504476992758
114,5000,100000000,50000,5e-09,1e-08,tsinfer,20.19585664770365,0.08406624114894791
115,5000,100000000,50000,1e-08,1e-08,tsinfer,15.852730421707033,0.09622249354186119
116,5000,100000000,50000,2e-08,1e-08,tsinfer,12.076175790014002,
