"","freq","p00","p01","p02","p10","p11","p12","p20","p21","p22"
"4276",0.853834,0.80952380952381,0.0952380952380952,0.0952380952380952,0,1,0,0,0.00313479623824451,0.996865203761755
"4277",0.854034,0.857142857142857,0,0.142857142857143,0,1,0,0,0,1
"4278",0.854233,0.65,0.05,0.3,0,1,0,0,0.00289017341040462,0.997109826589595
"4279",0.854433,0.733333333333333,0,0.266666666666667,0,1,0,0,0.00255754475703325,0.997442455242967
"4280",0.854633,0.625,0.0416666666666667,0.333333333333333,0,1,0,0,0,1
"4281",0.854832,0.724137931034483,0,0.275862068965517,0,0.992805755395683,0.00719424460431655,0,0,1
"4282",0.855032,0.827586206896552,0.0689655172413793,0.103448275862069,0,0.991379310344828,0.00862068965517241,0,0,1
"4283",0.855232,0.944444444444444,0,0.0555555555555556,0,0.991379310344828,0.00862068965517241,0,0,1
"4284",0.855431,0.826086956521739,0.0434782608695652,0.130434782608696,0,0.981132075471698,0.0188679245283019,0,0.0026246719160105,0.99737532808399
"4285",0.855631,0.9375,0.0208333333333333,0.0416666666666667,0,0.98989898989899,0.0101010101010101,0,0,1
"4286",0.855831,0.857142857142857,0,0.142857142857143,0,1,0,0,0,1
"4287",0.85603,0.818181818181818,0,0.181818181818182,0,1,0,0,0,1
"4288",0.85623,0.894736842105263,0,0.105263157894737,0,0.992647058823529,0.00735294117647059,0,0,1
"4289",0.85643,0.88,0.04,0.08,0,0.989583333333333,0.0104166666666667,0,0,1
"4290",0.856629,0.727272727272727,0.136363636363636,0.136363636363636,0,0.989795918367347,0.0102040816326531,0,0,1
"4291",0.856829,0.608695652173913,0.0434782608695652,0.347826086956522,0,1,0,0,0,1
"4292",0.857029,0.692307692307692,0.0769230769230769,0.230769230769231,0,0.991869918699187,0.00813008130081301,0,0.00242718446601942,0.997572815533981
"4293",0.857228,0.8,0.04,0.16,0,1,0,0,0.00267379679144385,0.997326203208556
"4294",0.857428,0.80952380952381,0.0476190476190476,0.142857142857143,0,0.99,0.01,0,0,1
"4295",0.857628,0.695652173913043,0.0434782608695652,0.260869565217391,0.0087719298245614,0.991228070175439,0,0,0,1
"4296",0.857827,0.9375,0.03125,0.03125,0,0.982142857142857,0.0178571428571429,0,0,1
"4297",0.858027,0.925925925925926,0,0.0740740740740741,0,1,0,0,0,1
"4298",0.858227,0.861111111111111,0,0.138888888888889,0,1,0,0,0,1
"4299",0.858427,0.772727272727273,0.0454545454545455,0.181818181818182,0,1,0,0,0.0022271714922049,0.997772828507795
"4300",0.858626,0.791666666666667,0,0.208333333333333,0,0.991803278688525,0.00819672131147541,0,0,1
"4301",0.858826,0.863636363636364,0.0454545454545455,0.0909090909090909,0,1,0,0,0.0025706940874036,0.997429305912596
"4302",0.859026,0.785714285714286,0.0714285714285714,0.142857142857143,0,1,0,0,0,1
"4303",0.859225,0.916666666666667,0,0.0833333333333333,0,0.991935483870968,0.00806451612903226,0,0,1
"4304",0.859425,0.733333333333333,0.0333333333333333,0.233333333333333,0,1,0,0,0,1
"4305",0.859625,0.625,0,0.375,0,0.986394557823129,0.0136054421768707,0,0,1
"4306",0.859824,0.75,0,0.25,0,1,0,0,0.00210526315789474,0.997894736842105
"4307",0.860024,0.782608695652174,0,0.217391304347826,0,0.983870967741935,0.0161290322580645,0,0.00987654320987654,0.990123456790123
"4308",0.860224,0.761904761904762,0.0952380952380952,0.142857142857143,0,1,0,0,0,1
"4309",0.860423,0.647058823529412,0,0.352941176470588,0,1,0,0,0,1
"4310",0.860623,0.666666666666667,0.0833333333333333,0.25,0,1,0,0,0.00257731958762887,0.997422680412371
"4311",0.860823,0.947368421052632,0.0526315789473684,0,0,0.981308411214953,0.0186915887850467,0,0,1
"4312",0.861022,0.944444444444444,0,0.0555555555555556,0,0.98876404494382,0.0112359550561798,0,0.00237529691211401,0.997624703087886
"4313",0.861222,0.714285714285714,0.142857142857143,0.142857142857143,0,0.979591836734694,0.0204081632653061,0,0.00512820512820513,0.994871794871795
"4314",0.861422,0.8,0,0.2,0,0.969387755102041,0.0306122448979592,0,0,1
"4315",0.861621,0.95,0,0.05,0,0.99,0.01,0,0,1
"4316",0.861821,0.941176470588235,0,0.0588235294117647,0,0.991452991452991,0.00854700854700855,0,0.00275482093663912,0.997245179063361
"4317",0.862021,0.761904761904762,0.0952380952380952,0.142857142857143,0,0.990909090909091,0.00909090909090909,0,0,1
"4318",0.86222,0.823529411764706,0,0.176470588235294,0,0.980392156862745,0.0196078431372549,0,0,1
"4319",0.86242,0.818181818181818,0.0909090909090909,0.0909090909090909,0,1,0,0,0.00269541778975741,0.997304582210243
"4320",0.86262,1,0,0,0,1,0,0,0,1
"4321",0.862819,0.954545454545455,0,0.0454545454545455,0,1,0,0,0.00522193211488251,0.994778067885117
"4322",0.863019,0.833333333333333,0.0555555555555556,0.111111111111111,0.019047619047619,0.980952380952381,0,0,0.0026525198938992,0.997347480106101
"4323",0.863219,0.933333333333333,0.0666666666666667,0,0,0.983870967741935,0.0161290322580645,0,0.00260416666666667,0.997395833333333
"4324",0.863419,0.789473684210526,0.105263157894737,0.105263157894737,0,1,0,0,0,1
"4325",0.863618,0.945945945945946,0,0.0540540540540541,0,0.991379310344828,0.00862068965517241,0,0,1
"4326",0.863818,0.833333333333333,0.125,0.0416666666666667,0.0108695652173913,0.989130434782609,0,0,0,1
"4327",0.864018,0.9,0.05,0.05,0,1,0,0,0,1
"4328",0.864217,0.741935483870968,0.032258064516129,0.225806451612903,0,1,0,0,0,1
"4329",0.864417,0.96875,0.03125,0,0,0.989473684210526,0.0105263157894737,0,0,1
"4330",0.864617,0.952380952380952,0,0.0476190476190476,0,1,0,0,0.00290697674418605,0.997093023255814
"4331",0.864816,0.953488372093023,0.0232558139534884,0.0232558139534884,0,1,0,0,0,1
"4332",0.865016,0.962962962962963,0,0.037037037037037,0,0.968085106382979,0.0319148936170213,0,0,1
"4333",0.865216,0.846153846153846,0,0.153846153846154,0,0.96551724137931,0.0344827586206897,0,0.0029673590504451,0.997032640949555
"4334",0.865415,0.875,0,0.125,0,0.985185185185185,0.0148148148148148,0,0.00253807106598985,0.99746192893401
"4335",0.865615,0.736842105263158,0.157894736842105,0.105263157894737,0,0.983870967741935,0.0161290322580645,0,0,1
"4336",0.865815,0.75,0,0.25,0,1,0,0,0,1
"4337",0.866014,0.80952380952381,0,0.19047619047619,0,0.991869918699187,0.00813008130081301,0,0,1
"4338",0.866214,0.916666666666667,0,0.0833333333333333,0,0.982905982905983,0.0170940170940171,0,0,1
"4339",0.866414,0.769230769230769,0.0769230769230769,0.153846153846154,0,1,0,0,0,1
"4340",0.866613,0.945945945945946,0,0.0540540540540541,0,1,0,0,0,1
"4341",0.866813,0.84,0,0.16,0,0.990566037735849,0.00943396226415094,0,0,1
"4342",0.867013,0.631578947368421,0.0526315789473684,0.315789473684211,0,1,0,0,0,1
"4343",0.867212,1,0,0,0,1,0,0,0,1
"4344",0.867412,0.823529411764706,0.0588235294117647,0.117647058823529,0,1,0,0,0,1
"4345",0.867612,0.75,0,0.25,0,0.992248062015504,0.00775193798449612,0,0.00247524752475248,0.997524752475248
"4346",0.867812,0.8,0,0.2,0,1,0,0,0,1
"4347",0.868011,0.888888888888889,0,0.111111111111111,0,0.984962406015038,0.0150375939849624,0,0.00245098039215686,0.997549019607843
"4348",0.868211,0.68,0.08,0.24,0,1,0,0,0.00464037122969838,0.995359628770302
"4349",0.868411,0.896551724137931,0,0.103448275862069,0,1,0,0,0,1
"4350",0.86861,0.9375,0,0.0625,0,0.983050847457627,0.0169491525423729,0,0,1
"4351",0.86881,0.789473684210526,0.0526315789473684,0.157894736842105,0,1,0,0,0,1
"4352",0.86901,0.95,0,0.05,0,0.98936170212766,0.0106382978723404,0,0.00222222222222222,0.997777777777778
"4353",0.869209,0.709677419354839,0.0645161290322581,0.225806451612903,0,0.979166666666667,0.0208333333333333,0,0.0025,0.9975
"4354",0.869409,0.769230769230769,0,0.230769230769231,0,0.990566037735849,0.00943396226415094,0,0,1
"4355",0.869609,0.875,0,0.125,0,0.991304347826087,0.00869565217391304,0,0.00234192037470726,0.997658079625293
"4356",0.869808,0.875,0,0.125,0,1,0,0,0.00496277915632754,0.995037220843672
"4357",0.870008,0.736842105263158,0.0526315789473684,0.210526315789474,0,0.98936170212766,0.0106382978723404,0,0,1
"4358",0.870208,0.8125,0,0.1875,0,1,0,0,0,1
"4359",0.870407,0.941176470588235,0,0.0588235294117647,0,0.978723404255319,0.0212765957446809,0,0,1
"4360",0.870607,0.833333333333333,0,0.166666666666667,0,1,0,0,0.0024330900243309,0.997566909975669
"4361",0.870807,0.947368421052632,0,0.0526315789473684,0,1,0,0,0.0023696682464455,0.997630331753555
"4362",0.871006,0.714285714285714,0.0714285714285714,0.214285714285714,0,0.991150442477876,0.00884955752212389,0,0,1
"4363",0.871206,0.857142857142857,0,0.142857142857143,0,1,0,0,0,1
"4364",0.871406,0.708333333333333,0.0833333333333333,0.208333333333333,0,0.968,0.032,0,0,1
"4365",0.871605,0.823529411764706,0.117647058823529,0.0588235294117647,0,0.98989898989899,0.0101010101010101,0,0,1
"4366",0.871805,0.68,0.08,0.24,0,1,0,0,0,1
"4367",0.872005,0.736842105263158,0,0.263157894736842,0,1,0,0,0,1
"4368",0.872204,0.647058823529412,0.235294117647059,0.117647058823529,0,1,0,0,0,1
"4369",0.872404,0.736842105263158,0,0.263157894736842,0.00943396226415094,0.990566037735849,0,0,0,1
"4370",0.872604,0.565217391304348,0.217391304347826,0.217391304347826,0,0.993103448275862,0.00689655172413793,0,0.00236406619385343,0.997635933806147
"4371",0.872804,0.714285714285714,0.0476190476190476,0.238095238095238,0,1,0,0,0.00733496332518337,0.992665036674817
"4372",0.873003,0.714285714285714,0,0.285714285714286,0,0.991071428571429,0.00892857142857143,0,0.005249343832021,0.994750656167979
"4373",0.873203,0.75,0.05,0.2,0,0.966666666666667,0.0333333333333333,0,0,1
"4374",0.873403,0.857142857142857,0,0.142857142857143,0,1,0,0,0.00485436893203883,0.995145631067961
"4375",0.873602,0.6,0,0.4,0,0.980769230769231,0.0192307692307692,0,0,1
"4376",0.873802,0.733333333333333,0.133333333333333,0.133333333333333,0,1,0,0,0,1
"4377",0.874002,0.4,0.2,0.4,0,0.9921875,0.0078125,0,0,1
"4378",0.874201,0.8,0,0.2,0,1,0,0,0,1
"4379",0.874401,0.727272727272727,0,0.272727272727273,0,1,0,0,0.0045662100456621,0.995433789954338
"4380",0.874601,0.333333333333333,0.166666666666667,0.5,0,1,0,0,0,1
"4381",0.8748,0.866666666666667,0,0.133333333333333,0,0.98,0.02,0,0,1
"4382",0.875,0.666666666666667,0.111111111111111,0.222222222222222,0,0.980769230769231,0.0192307692307692,0,0.00245700245700246,0.997542997542998
