,Ne,length,sample_size,recombination_rate,mutation_rate,tool,edge_ratio_mean,edge_ratio_se
61,5000,50000000,60000,1e-08,1e-08,tsinfer,0.9466810578598046,0.0008649913101707248
62,5000,50000000,60000,2e-08,1e-08,tsinfer,0.7536301699521772,0.0008587437381881057
63,5000,50000000,65000,5e-09,1e-08,tsinfer,1.1311335919871437,0.0012879307673471403
64,5000,50000000,65000,1e-08,1e-08,tsinfer,0.9470498897516508,0.000967634210243433
65,5000,50000000,65000,2e-08,1e-08,tsinfer,0.7570350292193788,0.0009187202926769056
66,5000,50000000,70000,5e-09,1e-08,tsinfer,1.1258660822480384,0.0012283087195613252
67,5000,50000000,70000,1e-08,1e-08,tsinfer,0.9490182331804415,0.0006314854528254742
68,5000,50000000,70000,2e-08,1e-08,tsinfer,0.7619875909368752,0.0005454406074019536
69,5000,50000000,75000,5e-09,1e-08,tsinfer,1.1165473821559655,0.0013697488055989136
70,5000,50000000,75000,1e-08,1e-08,tsinfer,0.9447556847974378,0.000700771737617304
71,5000,50000000,75000,2e-08,1e-08,tsinfer,0.7660078226856907,0.0006845947454279241
72,5000,50000000,80000,5e-09,1e-08,tsinfer,1.1096711702505715,0.001090834566196757
73,5000,50000000,80000,1e-08,1e-08,tsinfer,0.9477063296426161,0.0012547946499045003
74,5000,50000000,80000,2e-08,1e-08,tsinfer,0.7713994735522766,0.0008036818360431772
75,5000,50000000,85000,5e-09,1e-08,tsinfer,1.101182562079025,0.0012814729840966816
76,5000,50000000,85000,1e-08,1e-08,tsinfer,0.946525602195952,0.0007563479139884081
77,5000,50000000,85000,2e-08,1e-08,tsinfer,0.7751829054166399,0.0009247369554486626
78,5000,50000000,90000,5e-09,1e-08,tsinfer,1.0931724632039281,0.00140227464606123
79,5000,50000000,90000,1e-08,1e-08,tsinfer,0.944738686796797,0.0008123149252659598
80,5000,50000000,90000,2e-08,1e-08,tsinfer,0.7793769723249927,0.00041691255701006017
81,5000,50000000,95000,5e-09,1e-08,tsinfer,1.0881876846624081,0.0007617610204786229
82,5000,50000000,95000,1e-08,1e-08,tsinfer,0.9465059307494146,0.0008702890023279486
83,5000,50000000,95000,2e-08,1e-08,tsinfer,0.7814097120971144,0.0008192388073384858
84,5000,50000000,100000,5e-09,1e-08,tsinfer,1.0836661431477856,0.0006786619997263999
85,5000,50000000,100000,1e-08,1e-08,tsinfer,0.9451628018623373,0.0009689242766047635
86,5000,50000000,100000,2e-08,1e-08,tsinfer,0.7858838301071132,0.0006518135666935494
87,5000,55000000,50000,5e-09,1e-08,tsinfer,1.172592677194965,0.001369538196532373
88,5000,55000000,50000,1e-08,1e-08,tsinfer,0.9465986137642769,0.0013303582327287527
89,5000,55000000,50000,2e-08,1e-08,tsinfer,0.7399747401123221,0.00036313160412780664
90,5000,60000000,50000,5e-09,1e-08,tsinfer,1.1837995746273364,0.0010170940103041179
91,5000,60000000,50000,1e-08,1e-08,tsinfer,0.9473675298302288,0.0007435363861298807
92,5000,60000000,50000,2e-08,1e-08,tsinfer,0.7368467458215403,0.0007359750183164611
93,5000,65000000,50000,5e-09,1e-08,tsinfer,1.1970391437844903,0.0011732230193798336
94,5000,65000000,50000,1e-08,1e-08,tsinfer,0.9499684475311808,0.0006326061195538482
95,5000,65000000,50000,2e-08,1e-08,tsinfer,0.734405326617214,0.0005790824749961882
96,5000,70000000,50000,5e-09,1e-08,tsinfer,1.205593483920835,0.001199389242627219
97,5000,70000000,50000,1e-08,1e-08,tsinfer,0.9518225909032536,0.0012628299318332109
98,5000,70000000,50000,2e-08,1e-08,tsinfer,0.7335297739175299,0.00046716819985187166
99,5000,75000000,50000,5e-09,1e-08,tsinfer,1.2164355261214248,0.0007612693623216737
100,5000,75000000,50000,1e-08,1e-08,tsinfer,0.9528193531542362,0.0008020205052617614
101,5000,75000000,50000,2e-08,1e-08,tsinfer,0.7314061526810336,0.0005231773566815868
