,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,subsample_size,restrict_sample_size_comparison,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
228,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,broken,unrooted,SPR,0.6587631116920231,0.015145780585720345
229,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,broken,unrooted,path,2.1658262193762634,0.052094462955715945
231,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,retained,rooted,KC,2.343717765198887,0.038598459791614956
235,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,retained,unrooted,SPR,0.5913117174915563,0.01757665987376626
236,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,retained,unrooted,path,2.3191033970838046,0.05428361920495393
238,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,broken,rooted,KC,2.3634927643975314,0.039280791969356924
239,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,broken,rooted,RF,2.601269189706778,0.05711520271662531
241,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,broken,unrooted,RF,1.75254495349295,0.05064633535005743
242,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,broken,unrooted,SPR,0.6518480146042651,0.01578260015203351
243,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,broken,unrooted,path,2.135066025385646,0.053675976778160016
245,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,retained,rooted,KC,2.3037637752760203,0.03713485002214307
249,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,retained,unrooted,SPR,0.5807745282999364,0.017058167905986955
250,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,retained,unrooted,path,2.278801315675866,0.05730549497206592
252,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,broken,rooted,KC,2.3365846153981464,0.0417464823401056
253,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,broken,rooted,RF,2.5613198452637946,0.05924544741445108
255,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,broken,unrooted,RF,1.7333033320798719,0.05243341312044118
256,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,broken,unrooted,SPR,0.6379829668349487,0.016127823078619517
257,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,broken,unrooted,path,2.103027475565985,0.05574069801623314
259,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,retained,rooted,KC,2.2785676378855384,0.039525762795814164
263,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,retained,unrooted,SPR,0.5702201637557947,0.017744477582490724
264,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,retained,unrooted,path,2.2551167541555794,0.05952739667864446
266,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,broken,rooted,KC,2.3575082882207927,0.04084516314311044
267,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,broken,rooted,RF,2.5749985484076414,0.05736556330407801
269,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,broken,unrooted,RF,1.7393392369478156,0.05040611608594899
270,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,broken,unrooted,SPR,0.6508489909574809,0.015838531468741902
271,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,broken,unrooted,path,2.1254378740626807,0.05332430787140243
273,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,retained,rooted,KC,2.3025422099590243,0.039470292344060076
277,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,retained,unrooted,SPR,0.5841452857960518,0.017671407355199398
278,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,retained,unrooted,path,2.275931730055265,0.0557466357719825
280,5000,5000000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,broken,rooted,KC,2.295714521443992,0.016724715237103196
281,5000,5000000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,broken,rooted,RF,2.4572306876148704,0.024866032196104483
283,5000,5000000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,broken,unrooted,RF,1.6533724018617082,0.021621701306662782
