,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomy_treatment,rooting,metric,treedist_mean,treedist_se
152,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,,unrooted,RF,13.103448208979591,0.1302451379039044
153,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,,unrooted,SPR,3.4018852884618394,0.1098227922851011
154,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,,unrooted,path,23.025824766618765,0.18387130153625525
155,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,,unrooted,wRF,67491.0167925178,553.0613743333449
156,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,breaking polytomies,rooted,KC,17.708450891068733,0.13883491566253453
157,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,breaking polytomies,rooted,RF,16.953279021995513,0.1630845353784514
158,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,breaking polytomies,rooted,wRF,67494.04712529597,553.0658052417051
159,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,breaking polytomies,unrooted,RF,15.179466459078123,0.16186736276591873
160,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,breaking polytomies,unrooted,SPR,3.944342310575473,0.03758487821338939
161,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,breaking polytomies,unrooted,path,21.657017441060763,0.1509993895480011
162,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,breaking polytomies,unrooted,wRF,67491.01679251778,553.061374333345
163,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,rooted,KC,17.085261907433107,0.46342696255926347
164,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,rooted,RF,18.0646078,0.27679313279121354
165,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,rooted,wRF,87793.81537498576,2918.8754517804455
166,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,RF,16.3700972,0.28249960797008616
167,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,SPR,4.149842433333333,0.05377652362066988
168,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,path,22.742414327264175,0.7104401610879155
169,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,wRF,87384.09818103812,2894.236559129344
170,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,,rooted,KC,16.863301995573096,0.09977962396484803
171,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,,rooted,RF,16.206011540000002,0.15053517945681685
172,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,,unrooted,RF,14.352124260000005,0.14967879297941128
173,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,,unrooted,SPR,3.7618382399999994,0.03605571058724728
174,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,,unrooted,path,21.030620979623635,0.1375653680666507
175,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,,rooted,KC,18.05263813616916,0.11363157456115769
176,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,,rooted,RF,18.296087035947746,0.13109267843120617
177,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,,rooted,wRF,66151.93214011265,539.9533037551447
178,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,RF,16.13177178181833,0.1313208706613053
179,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,SPR,4.149714222530944,0.030878459224950687
180,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,path,22.356899748024592,0.12453737610855604
181,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,wRF,66144.6050284971,539.9296520776478
182,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,,rooted,KC,15.706084287886615,0.10288715344415819
183,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,,rooted,RF,15.031631103792671,0.12834454215936858
184,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,,rooted,wRF,67493.17949985451,553.0417767501067
185,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,,unrooted,RF,13.491462154176586,0.12815144891787394
186,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,,unrooted,SPR,3.507415209218501,0.1258257507117147
187,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,,unrooted,path,23.454945761598587,0.18019899096720707
