,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
141,5000,100000,16,1e-08,4.439520008713e-08,0,RentPlus,per site,retained,unrooted,path,12.327864851493153,0.21884051040926641
142,5000,100000,16,1e-08,4.439520008713e-08,0,fastARG,per site,retained,rooted,KC,13.810470704487573,0.22565503988821617
143,5000,100000,16,1e-08,4.439520008713e-08,0,fastARG,per site,retained,rooted,RF,9.449799540338738,0.23163822762720315
145,5000,100000,16,1e-08,4.439520008713e-08,0,fastARG,per site,retained,unrooted,RF,7.126198770135086,0.2224832154675893
146,5000,100000,16,1e-08,4.439520008713e-08,0,fastARG,per site,retained,unrooted,SPR,2.3056417905897195,0.06583725596948302
147,5000,100000,16,1e-08,4.439520008713e-08,0,fastARG,per site,retained,unrooted,path,12.890285638980464,0.28208110957961174
149,5000,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,rooted,KC,8.512176745446386,0.19794231235699022
150,5000,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,rooted,RF,7.37741998271085,0.20031584388627688
152,5000,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,unrooted,RF,6.715503444851963,0.1971969620760065
153,5000,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,unrooted,SPR,2.188634959923166,0.05315217106542604
154,5000,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,unrooted,path,12.217288826041363,0.24518326497729337
156,5000,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,retained,rooted,KC,8.183928495028733,0.17790003443630908
160,5000,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,retained,unrooted,SPR,1.7685513308565268,0.06033413310911335
161,5000,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,retained,unrooted,path,13.137855160229599,0.2692122126584794
163,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,KC,9.145992039931066,0.16073078645323674
164,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,RF,8.534871059999999,0.18676992738131198
166,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,RF,7.729429919999998,0.1850349671182473
167,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,SPR,2.43229504,0.04899422871181503
168,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,path,12.96711570608698,0.21358284871311137
170,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,KC,11.055949840886587,0.11672672251768332
171,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,RF,9.661076099999997,0.18507128902018774
172,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,RF,8.432514,0.191250368262615
173,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,SPR,2.5653659000000006,0.05041337780839946
174,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,path,14.275352978607527,0.2188439232468848
175,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,KC,14.98517081397172,0.23308572987690118
176,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,RF,13.42725346751205,0.23232325988543834
178,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,RF,11.168991408742867,0.2229677017442749
179,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,SPR,3.2490366808658155,0.0579782056390958
180,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,path,16.87658437392781,0.22732681339418934
182,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,9.809396683343467,0.17031288022938268
183,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,9.504083782205022,0.19720448775823937
185,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,8.682803079210123,0.19406327138445775
186,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,2.6652403987830384,0.050232611899397206
187,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,14.216985343696262,0.22730828404747752
189,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,9.194346116282833,0.15087991150809144
193,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,SPR,2.319179498060488,0.10482850798008722
194,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,15.221835024054526,0.24405089638018646
196,5000,100000,16,1e-08,1.3228756555322952e-07,0,ARGweaver,per site,retained,rooted,KC,5.627273060371204,0.13487114055016314
197,5000,100000,16,1e-08,1.3228756555322952e-07,0,ARGweaver,per site,retained,rooted,RF,3.585544959999999,0.10783559230610862
199,5000,100000,16,1e-08,1.3228756555322952e-07,0,ARGweaver,per site,retained,unrooted,RF,3.0500199199999996,0.10753912453836287
200,5000,100000,16,1e-08,1.3228756555322952e-07,0,ARGweaver,per site,retained,unrooted,SPR,1.1422518000000002,0.03862058914243656
201,5000,100000,16,1e-08,1.3228756555322952e-07,0,ARGweaver,per site,retained,unrooted,path,6.872882326138461,0.17861000275316136
203,5000,100000,16,1e-08,1.3228756555322952e-07,0,RentPlus,per site,retained,rooted,KC,8.644524133371492,0.1065512592550453
204,5000,100000,16,1e-08,1.3228756555322952e-07,0,RentPlus,per site,retained,rooted,RF,5.2594408,0.1336038813612899
205,5000,100000,16,1e-08,1.3228756555322952e-07,0,RentPlus,per site,retained,unrooted,RF,4.0105789,0.13883390267378584
206,5000,100000,16,1e-08,1.3228756555322952e-07,0,RentPlus,per site,retained,unrooted,SPR,1.4068719500000002,0.05125459737014063
207,5000,100000,16,1e-08,1.3228756555322952e-07,0,RentPlus,per site,retained,unrooted,path,8.626720680696483,0.19769970425905908
208,5000,100000,16,1e-08,1.3228756555322952e-07,0,fastARG,per site,retained,rooted,KC,12.55852865035455,0.22353818320450403
209,5000,100000,16,1e-08,1.3228756555322952e-07,0,fastARG,per site,retained,rooted,RF,6.9560532892570155,0.18319884412620538
211,5000,100000,16,1e-08,1.3228756555322952e-07,0,fastARG,per site,retained,unrooted,RF,4.504746707310421,0.17325817512094305
212,5000,100000,16,1e-08,1.3228756555322952e-07,0,fastARG,per site,retained,unrooted,SPR,1.5474231433132124,0.051434238575004586
213,5000,100000,16,1e-08,1.3228756555322952e-07,0,fastARG,per site,retained,unrooted,path,9.389805360747985,0.2416447055661466
215,5000,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,rooted,KC,5.752228544923506,0.13078561442291953
216,5000,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,rooted,RF,4.4527995326000465,0.14043128785294723
218,5000,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,unrooted,RF,4.081980318355031,0.13858514531042826
219,5000,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,unrooted,SPR,1.4405819123006978,0.04478344250147283
220,5000,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,unrooted,path,8.600994129213795,0.20363410620812578
222,5000,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,retained,rooted,KC,5.718268506712698,0.12623403825435214
226,5000,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,retained,unrooted,SPR,1.2263572042200006,0.05589638840589549
227,5000,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,retained,unrooted,path,9.209441777129543,0.2124200263475396
229,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,KC,6.2975065433344355,0.13179241196174707
230,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,RF,4.746326880000001,0.14533040119604115
232,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,RF,4.1935402999999996,0.14870082639708787
233,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,SPR,1.4939808599999997,0.04963985446838079
234,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,path,8.360261876782772,0.2123249502108354
236,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,KC,9.64095878863386,0.1041870087625472
237,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,RF,7.860077800000002,0.14865365790805835
238,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,RF,6.8032033999999975,0.1564693711602925
239,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,SPR,2.17373745,0.04702562800640138
240,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,path,12.186028461330562,0.18591686001537003
241,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,KC,14.949765284591113,0.23810094015514588
242,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,RF,12.921706995996422,0.18196958113480755
244,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,RF,10.536155514866321,0.18358821511605178
245,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,SPR,3.095369162452077,0.04842086145652803
246,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,path,16.275304098670983,0.2201295008421576
248,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,7.672493782606611,0.11682904698642838
249,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,7.220205970979046,0.14955217064548088
251,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,6.66704897144098,0.1486502997522401
252,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,2.1499209162896245,0.04166565645847325
253,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,11.763127350852644,0.18019492724344946
255,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,7.329677843716535,0.1123334835948159
259,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,SPR,1.7237989189797704,0.05988521055185932
260,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,12.55490072443297,0.20244836177505668
262,5000,100000,16,1e-08,3.941867581552624e-07,0,ARGweaver,per site,retained,rooted,KC,3.820571892367868,0.1625979638355189
263,5000,100000,16,1e-08,3.941867581552624e-07,0,ARGweaver,per site,retained,rooted,RF,1.672999700000001,0.07755190627982166
265,5000,100000,16,1e-08,3.941867581552624e-07,0,ARGweaver,per site,retained,unrooted,RF,1.2496984800000004,0.06916009755206984
266,5000,100000,16,1e-08,3.941867581552624e-07,0,ARGweaver,per site,retained,unrooted,SPR,0.5071315799999999,0.028366158366720982
