,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
151,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,rooted,KC,9.414698924611024,0.12641776534273014
152,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,rooted,RF,8.505396013600048,0.16428777535774206
154,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,unrooted,RF,7.772357027244815,0.16623309366070496
155,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,unrooted,SPR,2.43618638179639,0.046010437470102396
156,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,unrooted,path,13.313776855735092,0.18112795422784833
158,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,retained,rooted,KC,9.149581753327567,0.12293378664741153
162,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,retained,unrooted,SPR,2.095263357186018,0.07742539236353478
163,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,0,tsinfer,per site,retained,unrooted,path,13.951492730550942,0.20438496487415292
165,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,KC,10.145244920566917,0.1407944284032165
166,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,RF,9.38267888,0.1814369890671786
168,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,RF,8.474614380000002,0.1814180321064183
169,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,SPR,2.5814934300000014,0.044588147530305565
170,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,path,13.85035735443446,0.20735307189228186
172,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,KC,10.82603104869097,0.1275294774720997
173,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,RF,9.703625000000002,0.15629407835706652
174,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,RF,8.633114799999996,0.15701178085443274
175,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,SPR,2.6523944,0.04309926593935812
176,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,path,14.442859842043228,0.1749324920354482
177,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,KC,16.35603468720546,0.2139577226499084
178,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,RF,14.796110802875601,0.1778970947078206
180,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,RF,12.41802442254848,0.1740463969760518
181,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,SPR,3.472138048625281,0.03934087176266574
182,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,path,18.216150527151093,0.1996858446188658
184,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,10.781470832941645,0.11004941828838741
185,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,10.599492409764103,0.15834580914529806
187,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,9.722594829952886,0.16165915401832
188,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,2.8734705131820015,0.039492416118484405
189,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,15.297075201112616,0.17359413429039844
191,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,10.195497631531508,0.10369852320280985
195,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,SPR,2.632222817080528,0.09051083785783229
196,Gutenkunst.out.of.africa,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,16.190464094792397,0.20628368912992098
198,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,ARGweaver,per site,retained,rooted,KC,6.604940922384706,0.14050379596320026
199,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,ARGweaver,per site,retained,rooted,RF,4.630171239999999,0.1292862896325724
201,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,ARGweaver,per site,retained,unrooted,RF,4.00704476,0.1269303451907472
202,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,ARGweaver,per site,retained,unrooted,SPR,1.44004452,0.04035600546309144
