,dataset,population,region,sample,sample_edges,strand
355,sgdp,Burusho,SouthAsia,S_Burusho-1,907,1
356,sgdp,Hazara,SouthAsia,S_Hazara-2,955,0
357,sgdp,Hazara,SouthAsia,S_Hazara-2,968,1
358,sgdp,Kalash,SouthAsia,S_Kalash-1,907,0
359,sgdp,Kalash,SouthAsia,S_Kalash-1,908,1
360,sgdp,Burusho,SouthAsia,S_Burusho-2,896,0
361,sgdp,Burusho,SouthAsia,S_Burusho-2,1014,1
362,sgdp,Hazara,SouthAsia,S_Hazara-1,883,0
363,sgdp,Hazara,SouthAsia,S_Hazara-1,900,1
364,sgdp,Kalash,SouthAsia,S_Kalash-2,939,0
365,sgdp,Kalash,SouthAsia,S_Kalash-2,939,1
366,sgdp,Sindhi,SouthAsia,S_Sindhi-1,1072,0
367,sgdp,Sindhi,SouthAsia,S_Sindhi-1,1057,1
368,sgdp,Sindhi,SouthAsia,S_Sindhi-2,1011,0
369,sgdp,Sindhi,SouthAsia,S_Sindhi-2,969,1
370,sgdp,Punjabi,SouthAsia,S_Punjabi-2,1035,0
371,sgdp,Punjabi,SouthAsia,S_Punjabi-2,1042,1
372,sgdp,Punjabi,SouthAsia,S_Punjabi-3,964,0
373,sgdp,Punjabi,SouthAsia,S_Punjabi-3,1025,1
374,sgdp,Punjabi,SouthAsia,S_Punjabi-4,1014,0
375,sgdp,Punjabi,SouthAsia,S_Punjabi-4,985,1
376,sgdp,Punjabi,SouthAsia,S_Punjabi-1,1026,0
377,sgdp,Punjabi,SouthAsia,S_Punjabi-1,997,1
378,sgdp,Abkhasian,WestEurasia,S_Abkhasian-1,923,0
379,sgdp,Abkhasian,WestEurasia,S_Abkhasian-1,941,1
380,sgdp,Albanian,WestEurasia,S_Albanian-1,998,0
381,sgdp,Albanian,WestEurasia,S_Albanian-1,1002,1
382,sgdp,Armenian,WestEurasia,S_Armenian-1,891,0
383,sgdp,Armenian,WestEurasia,S_Armenian-1,890,1
384,sgdp,Armenian,WestEurasia,S_Armenian-2,963,0
385,sgdp,Armenian,WestEurasia,S_Armenian-2,1002,1
386,sgdp,Bulgarian,WestEurasia,S_Bulgarian-1,925,0
387,sgdp,Bulgarian,WestEurasia,S_Bulgarian-1,920,1
388,sgdp,Bulgarian,WestEurasia,S_Bulgarian-2,898,0
389,sgdp,Bulgarian,WestEurasia,S_Bulgarian-2,973,1
390,sgdp,Atayal,EastAsia,S_Atayal-1,957,0
391,sgdp,Atayal,EastAsia,S_Atayal-1,917,1
392,sgdp,Czech,WestEurasia,S_Czech-2,875,0
393,sgdp,Czech,WestEurasia,S_Czech-2,864,1
394,sgdp,English,WestEurasia,S_English-1,937,0
395,sgdp,English,WestEurasia,S_English-1,856,1
396,sgdp,English,WestEurasia,S_English-2,905,0
397,sgdp,English,WestEurasia,S_English-2,888,1
398,sgdp,Estonian,WestEurasia,S_Estonian-2,819,0
399,sgdp,Estonian,WestEurasia,S_Estonian-2,793,1
400,sgdp,Estonian,WestEurasia,S_Estonian-1,850,0
401,sgdp,Estonian,WestEurasia,S_Estonian-1,826,1
402,sgdp,Finnish,WestEurasia,S_Finnish-2,792,0
403,sgdp,Finnish,WestEurasia,S_Finnish-2,800,1
404,sgdp,Finnish,WestEurasia,S_Finnish-1,800,0
405,sgdp,Finnish,WestEurasia,S_Finnish-1,840,1
406,sgdp,Finnish,WestEurasia,S_Finnish-3,808,0
407,sgdp,Finnish,WestEurasia,S_Finnish-3,810,1
408,sgdp,Saami,WestEurasia,S_Saami-1,720,0
409,sgdp,Saami,WestEurasia,S_Saami-1,791,1
410,sgdp,Saami,WestEurasia,S_Saami-2,787,0
411,sgdp,Saami,WestEurasia,S_Saami-2,788,1
412,sgdp,French,WestEurasia,S_French-1,895,0
413,sgdp,French,WestEurasia,S_French-1,858,1
414,sgdp,French,WestEurasia,S_French-2,949,0
415,sgdp,French,WestEurasia,S_French-2,868,1
416,sgdp,Basque,WestEurasia,S_Basque-1,875,0
417,sgdp,Basque,WestEurasia,S_Basque-1,978,1
418,sgdp,Basque,WestEurasia,S_Basque-2,863,0
419,sgdp,Basque,WestEurasia,S_Basque-2,813,1
420,sgdp,Georgian,WestEurasia,S_Georgian-2,999,0
421,sgdp,Georgian,WestEurasia,S_Georgian-2,1002,1
422,sgdp,Georgian,WestEurasia,S_Georgian-1,964,0
423,sgdp,Georgian,WestEurasia,S_Georgian-1,979,1
424,sgdp,Greek,WestEurasia,S_Greek-1,886,0
425,sgdp,Greek,WestEurasia,S_Greek-1,902,1
426,sgdp,Greek,WestEurasia,S_Greek-2,1022,0
427,sgdp,Greek,WestEurasia,S_Greek-2,895,1
428,sgdp,Hungarian,WestEurasia,S_Hungarian-2,858,0
429,sgdp,Hungarian,WestEurasia,S_Hungarian-2,869,1
430,sgdp,Hungarian,WestEurasia,S_Hungarian-1,887,0
431,sgdp,Hungarian,WestEurasia,S_Hungarian-1,907,1
432,sgdp,Icelandic,WestEurasia,S_Icelandic-1,922,0
433,sgdp,Icelandic,WestEurasia,S_Icelandic-1,859,1
434,sgdp,Icelandic,WestEurasia,S_Icelandic-2,865,0
