Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,edges,n_trees,seed,fastARG_completed,tsinfer_completed,fastARG_memory,fastARG_cputime,fastARG_edges,fastARG_ts_filesize,tsinfer_mean_polytomy,tsinfer_var_polytomy,tsinfer_ts_filesize,tsinfer_memory,tsinfer_max_polytomy,tsinfer_edges,tsinfer_cputime
44,1,4218,5000,5000000,2.5e-08,2.5e-08,0,85188,20543,1449365322,True,True,1133977600.0,1760.28,106982.0,3375258.0,5.7314618227569385,3432.7105403888268,2309792.0,1048354816.0,6585.0,72887.0,378.58
45,1,5270,5000,5000000,2.5e-08,2.5e-08,0,88870,20868,2004056872,True,True,1454104576.0,2653.22,112080.0,3538719.0,5.84624724899446,3235.291985803025,2423383.0,1132617728.0,6506.0,77036.0,436.57
46,1,6322,5000,5000000,2.5e-08,2.5e-08,0,94735,21838,60492517,True,True,1616158720.0,4026.11,118854.0,3753047.0,5.89215963770167,3358.938695958665,2607349.0,1256894464.0,6865.0,83268.0,547.5
47,1,7374,5000,5000000,2.5e-08,2.5e-08,0,97631,21976,1550636973,True,True,2534576128.0,5780.150000000002,124190.0,3903993.0,5.994645247657296,3398.062678294851,2656785.0,1324343296.0,6917.0,85082.0,668.01
48,1,8426,5000,5000000,2.5e-08,2.5e-08,0,102201,22646,1437841010,True,True,2621317120.0,8490.1,130201.0,4096946.0,6.0674142392674675,3436.433780580778,2842034.0,1852723200.0,7168.0,91442.0,769.26
49,1,9478,5000,5000000,2.5e-08,2.5e-08,0,103943,22454,317594713,True,True,3990130688.0,9957.449999999999,133188.0,4218114.0,6.1211167648634195,3147.3069027699767,2845531.0,1886670848.0,6822.0,91425.0,819.73
50,1,10000,5000,500000,2.5e-08,2.5e-08,0,28328,2198,252108970,True,True,3136204800.0,1916.52,30462.0,1013502.0,10.824514991181656,713.2690286448369,770538.0,299380736.0,920.0,24550.0,43.32
51,1,10000,5000,1000000,2.5e-08,2.5e-08,0,36664,4369,726987915,True,True,1848238080.0,2419.76,41325.0,1345584.0,8.203100775193798,624.4817474911363,983984.0,381452288.0,1390.0,31746.0,101.76
52,1,10000,5000,1500000,2.5e-08,2.5e-08,0,45575,6779,466003127,True,True,3061489664.0,4123.099999999999,54280.0,1741030.0,7.1961245925389346,919.9356387298584,1240824.0,509083648.0,2162.0,39737.0,186.97
53,1,10000,5000,2000000,2.5e-08,2.5e-08,0,54769,9241,634229755,True,True,3665399808.0,5433.21,66106.0,2116750.0,6.8646508279337635,1321.1733292697274,1490300.0,769531904.0,2959.0,47675.0,283.4600000000001
54,1,10000,5000,2500000,2.5e-08,2.5e-08,0,63571,11557,1818331525,True,True,3756269568.0,6228.95,77177.0,2457613.0,6.6397619047619045,1622.9804666099774,1731152.0,973963264.0,3633.0,55774.0,383.82
55,1,10000,5000,3000000,2.5e-08,2.5e-08,0,71884,13718,1113947505,True,True,3823259648.0,7930.139999999999,89254.0,2825622.0,6.433847402597403,1978.529714742948,1964502.0,1047285760.0,4371.0,63412.0,463.02
